Name,SMILES,HOMO /eV,LUMO /eV,EG /eV
299_m,O=Cc1cc2nonc2cc1C=O,-7.267008,-3.496039,3.770969
300_m,CC(=O)Oc1cc2nccnc2cc1OC(C)=O,-6.862409,-2.070803,4.791605
301_m,N#Cc1cc2nsnc2cc1C#N,-7.71461,-3.615449,4.099161
302_m,Sc1nc2ccccc2nc1S,-6.315146,-1.985629,4.329516
303_m,COc1cc2nsnc2cn1,-6.235125,-2.700566,3.534559
304_m,O=S(=O)(O)c1cc2nonc2cc1S(=O)(=O)O,-8.296804,-3.848672,4.448132
305_m,O=Cc1nc2cocc2nc1C=O,-6.817136,-3.280473,3.536663
306_m,FC(F)(F)c1ccoc1,-6.812074,-0.174098,6.637976
307_m,Cc1nc2cscc2nc1C,-5.991233,-1.933451,4.057782
308_m,CNc1cc2nonc2cc1NC,-5.83327,-1.588666,4.244604
309_m,CC(=O)Nc1cc2c(cc1NC(C)=O)SCS2,-5.347877,-0.751312,4.596564
310_m,COc1cc2c(cc1OC)SCS2,-4.990756,-0.322347,4.668409
311_m,CNc1cc2nccnc2cc1NC,-5.420445,-1.273793,4.146652
312_m,Sc1nc2cocc2nc1S,-6.012061,-2.210875,3.801186
313_m,N#Cc1nc2cscc2nc1C#N,-7.236165,-3.613641,3.622525
314_m,Fc1ccoc1,-6.281704,0.253716,6.53542
315_m,O=Cc1ccc2nonc2c1,-7.322492,-3.090048,4.232444
