Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6672,COc1cc2cc(C#Cc3cc(C(F)(F)F)cc4c3SCS4)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C(F)(F)F)cc2c1SCS2,3.845877025,6.278483082
6673,COc1cc2cc[nH]c2c(C=Nc2cccc3nc(C=O)cnc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cccc2nc(C=O)cnc12,2.225127,7.101324
6674,COc1cc2cc(C=Nc3cc(C(F)(F)F)cc4nsnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C(F)(F)F)cc2nsnc12,2.069824025,7.394671082
6675,CNc1cc(C=Cc2c(OC)c(OC)cc3c2cc(C(=O)O)n3C)c2nsnc2c1,c1cc(NC)cc2nsnc12,c1c(OC)c(OC)cc2c1cc(C(=O)O)n2C,4.526666,3.3615760000000003
6676,COc1c:C(c2c(OC)c(OC)cc3c2ccn3C):sc1-c1cc(S)cc2nsnc12,c1cc(S)cc2nsnc12,c1c(OC)c(OC)cc2c1ccn2C,6.573438082,2.414635025
6677,COc1cc2c(ccn2C)c(C=Cc2c(C(F)(F)F)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1c(C(F)(F)F)ncc2nsnc12,1.5799700247670003,7.812413082
6678,COc1cc2ccn(C)c2c(N=Cc2scc3nc(F)cnc23)c1OC,c1c(OC)c(OC)cc2ccn(C)c12,c1scc2nc(F)cnc12,2.430691025,6.725574082
6679,COc1cc2cc(C=Nc3occc3C(F)(F)F)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1occc1C(F)(F)F,4.651569025,7.118202082
6680,COc1cc2[nH]ccc2c(C=Nc2c(C#N)ccc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]ccc12,c1c(C#N)ccc2nsnc12,1.8161780000000003,7.451619
6681,COc1cc2c(ccn2C)c(C=Cc2cccc3ncc(C=O)nc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1cccc2ncc(C=O)nc12,2.177235025,7.181420082
